rank,full_name,name,description,language,stars_today,total_stars,ai_related,tags
1,OpenCut-app/OpenCut,"
    


      
        OpenCut-app /

      OpenCut",The open-source CapCut alternative,TypeScript,"1,664",74149,否,"TypeScript, React, Canvas"
2,Nutlope/hallmark,"
    


      
        Nutlope /

      hallmark","Anti-AI-slop design skill for Claude Code, Cursor, and Codex.",CSS,"1,277",11086,是,"Claude Code, Cursor, 设计技能"
3,mattpocock/skills,"
    


      
        mattpocock /

      skills",Skills for Real Engineers. Straight from my .claude directory.,Shell,"2,130",174452,是,"Shell, Claude Code"
4,moeru-ai/airi,"
    


      
        moeru-ai /

      airi","💖🧸 Self hosted, you-owned Grok Companion, a container of souls of waifu, cyber livings to bring them into our worlds, wishing to achieve Neuro-sama's altitude. Capable of realtime voice chat, Minecraft, Factorio playing. Web / macOS / Windows supported.",TypeScript,110,42769,是,"TypeScript, Grok, 自托管"
5,Dicklesworthstone/destructive_command_guard,"
    


      
        Dicklesworthstone /

      destructive_command_guard",The Destructive Command Guard (dcg) is for blocking dangerous git and shell commands from being executed by agents.,Rust,471,5031,否,"Rust, 命令守卫"
6,HKUDS/Vibe-Trading,"
    


      
        HKUDS /

      Vibe-Trading","""Vibe-Trading: Your Personal Trading Agent""",Python,915,24351,是,"Python, 交易 Agent"
7,openinterpreter/openinterpreter,"
    


      
        openinterpreter /

      openinterpreter",A coding agent for low-cost models,Rust,299,66031,是,Rust
8,HKUDS/DeepTutor,"
    


      
        HKUDS /

      DeepTutor",DeepTutor: Lifelong Personalized Tutoring. https://deeptutor.info/.,Python,172,26952,是,"Python, 教育 Agent"
9,HenryNdubuaku/maths-cs-ai-compendium,"
    


      
        HenryNdubuaku /

      maths-cs-ai-compendium",Become a cracked AI/ML Research Engineer,TypeScript,725,6275,是,"TypeScript, AI/ML 资料"
10,injaneity/pi-computer-use,"
    


      
        injaneity /

      pi-computer-use",Let Pi control your apps on MacOS & Windows,TypeScript,103,1414,是,"TypeScript, Computer Use, macOS"
11,Shubhamsaboo/awesome-llm-apps,"
    


      
        Shubhamsaboo /

      awesome-llm-apps","100+ AI Agent & RAG apps you can actually run — clone, customize, ship.",Python,"1,236",123021,是,Python
12,coreyhaines31/marketingskills,"
    


      
        coreyhaines31 /

      marketingskills","Marketing skills for Claude Code and AI agents. CRO, copywriting, SEO, analytics, and growth engineering.",JavaScript,340,40225,是,"JavaScript, Claude Code, 营销"
13,YimMenu/YimMenuV2,"
    


      
        YimMenu /

      YimMenuV2",Experimental menu for GTA 5: Enhanced,C++,38,1514,否,"C++, 游戏模组"
14,hasaneyldrm/exercises-dataset,"
    


      
        hasaneyldrm /

      exercises-dataset","1,324-exercise fitness dataset — animation GIFs, 180×180 thumbnails, muscle-group & equipment data, and step-by-step instructions in 6 languages. The exercise data layer behind the LogPress app.",HTML,949,15116,否,"HTML, 数据集"
